На 01 января 2015 года;;;;;;;;;;;;;
Листинг;Дата включения в список;Эмитент;ИНН;Ценная бумага;Тип ценной бумаги;Гос. рег. номер;Дата регистрации;Номинал;Объем;Торговый код;Дата погашения;Дата начала торгов;Предназначение для квалинвесторов
Первый уровень;24.07.2014;ЗАО «ХОРУС ФИНАНС»;7719727648;Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-01;Облигация биржевая;4B02-01-71222-H;24.07.2014;1000;5 000 000;RU000A0JUS37;;05.08.2014;
Первый уровень;29.07.2014;ОАО «Открытие Холдинг»;7708730590;биржевые облигации документарные процентные неконвертируемые на предъявителя серии БО-03 с обязательным централизованным хранением;Облигация биржевая;4B02-03-14406-A;26.05.2014;1000;5 000 000;RU000A0JURM2;;30.07.2014;
Первый уровень;06.08.2014;ОАО «УБРиР»;6608008004;Биржевые облигации документарные процентные неконвертируемые на предъявителя серии БО-1 с обязательным централизованным хранением;Облигация биржевая;4B020100429B;09.09.2011;1000;2 000 000;RU000A0JT2N6;29.09.2015;;
Первый уровень;06.08.2014;ОАО «УБРиР»;6608008004;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-08;Облигация биржевая;4B020800429B;08.08.2013;1000;3 000 000;RU000A0JU5N6;19.09.2016;;
Первый уровень;06.08.2014;ОАО «УБРиР»;6608008004;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-05;Облигация биржевая;4B020500429B;29.03.2013;1000;2 000 000;RU000A0JTVE3;10.04.2020;;
Первый уровень;06.08.2014;ООО «ОВК Финанс»;7805233787;биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-01;Облигация биржевая;4B02-01-36430-R;06.08.2014;1000;15 000 000;RU000A0JUU25;;16.09.2014;
Первый уровень;11.08.2014;ЗАО «УК «Рацио-капитал»;7725217596;"ипотечные сертификаты участия ""Промышленная недвижимость""";Ипотечный сертификат участия;0011;29.03.2014;;;RU000A0JUQZ6;;13.08.2014;
Первый уровень;14.08.2014;ЗАО «ИА «Московский»;7743909208;неконвертируемые документарные процентные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением;Облигация корпоративная;4-01-81918-H;07.08.2014;1000;12 000 000;RU000A0JUSS7;;15.08.2014;
Первый уровень;14.08.2014;"""Запсибкомбанк"" ОАО";7202021856;документарные процентные неконвертируемые Биржевые облигации на предъявителя с обязательным централизованным хранением серии БО-04 c возможностью досрочного погашения по требованию владельцев облигаций;Облигация биржевая;4B020400918B;30.05.2011;1000;2 000 000;RU000A0JUTJ4;;08.09.2014;
Первый уровень;19.08.2014;АКБ «ПЕРЕСВЕТ» (ЗАО);7703074601;неконвертируемые процентные документарные Биржевые облигации на предъявителя серии БО-02 с обязательным централизованным хранением;Облигация биржевая;4B020202110B;19.08.2014;1000;3 000 000;RU000A0JUT85;;29.08.2014;
Первый уровень;19.08.2014;АКБ «ПЕРЕСВЕТ» (ЗАО);7703074601;неконвертируемые процентные документарные Биржевые облигации на предъявителя серии БО-01 с обязательным централизованным хранением;Облигация биржевая;4B020102110B;19.08.2014;1000;3 000 000;RU000A0JUV32;;29.09.2014;
Первый уровень;22.08.2014;ЗАО «ИА Абсолют 1»;7743866018;"неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением класса ""А""";Облигация корпоративная;4-01-79711-H;14.03.2013;1000;9 583 862;RU000A0JTSV3;12.11.2040;;
Первый уровень;22.08.2014;ЗАО «ИА Абсолют 2»;7743896742;неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением класса «А»;Облигация корпоративная;4-02-81210-H;10.12.2013;1000;6 908 731;RU000A0JUCP7;12.08.2041;;
Первый уровень;27.08.2014;ООО «ТМ-энерго финанс»;7805257964;неконвертируемые процентные документарные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-36445-R;07.08.2014;1000;6 000 000;RU000A0JUTC9;;04.09.2014;
Первый уровень;01.09.2014;"ОАО ""Э.ОН Россия""";8602067092;акции обыкновенные;Акция обыкновенная;1-02-65104-D;19.04.2007;0.4;63 048 706 145;EONR;;;
Первый уровень;03.09.2014;ООО «УК «ГеоКапитал»;5029144685;Ипотечные сертификаты участия с ипотечным покрытием «ИСУ ГК-2»;Ипотечный сертификат участия;0017;16.05.2014;;;RU000A0JUSU3;;04.09.2014;
Первый уровень;11.09.2014;ЗАО «Эмпайр Траст»;7705539531;"Ипотечные сертификаты участия ""Высокий стандарт""";Ипотечный сертификат участия;0020;20.05.2014;;;RU000A0JUSX7;;12.09.2014;
Первый уровень;16.09.2014;ЗАО «ТПГК-Финанс»;7701802460;облигации неконвертируемые процентные документарные на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-69195-H;18.07.2013;1000;5 000 000;RU000A0JU5M8;13.09.2018;;
Первый уровень;17.09.2014;"ООО ""РЕГИОН-ИНВЕСТ""";7733753865;облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии 01;Облигация корпоративная;4-01-36446-R;19.08.2014;1000;3 000 000;RU000A0JUUB9;;18.09.2014;
Первый уровень;17.09.2014;ПАО «ТрансФин-М»;7708797192;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-35;Облигация биржевая;4B02-35-36182-R;12.05.2014;1000;2 480 000;RU000A0JUXT5;;27.10.2014;
Первый уровень;17.09.2014;ПАО «ТрансФин-М»;7708797192;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-28;Облигация биржевая;4B02-28-36182-R;16.12.2013;1000;4 214 000;RU000A0JUUG8;;23.09.2014;
Первый уровень;17.09.2014;ПАО «ТрансФин-М»;7708797192;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-32;Облигация биржевая;4B02-32-36182-R;12.05.2014;1000;2 454 000;RU000A0JUWW1;;16.10.2014;
Первый уровень;17.09.2014;ПАО «ТрансФин-М»;7708797192;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-33;Облигация биржевая;4B02-33-36182-R;12.05.2014;1000;2 200 000;RU000A0JUX30;;21.10.2014;
Первый уровень;17.09.2014;ПАО «ТрансФин-М»;7708797192;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-34;Облигация биржевая;4B02-34-36182-R;12.05.2014;1000;2 405 000;RU000A0JUWA7;;13.10.2014;
Первый уровень;19.09.2014;"ЗАО ""ГФТ ПИФ""";7719561939;"ипотечные сертификаты участия с ипотечным покрытием – ""ИСУ-4""";Ипотечный сертификат участия;0025;13.08.2014;;;RU000A0JUTA3;;22.09.2014;
Первый уровень;19.09.2014;ЗАО «ТПГК-Финанс»;7701802460;Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-02;Облигация биржевая;4B02-02-69195-H;19.09.2014;1000;5 000 000;RU000A0JUUX3;;26.09.2014;
Первый уровень;19.09.2014;ЗАО «ТПГК-Финанс»;7701802460;Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-01;Облигация биржевая;4B02-01-69195-H;19.09.2014;1000;5 000 000;RU000A0JUUW5;;26.09.2014;
Первый уровень;19.09.2014;ЗАО «ТПГК-Финанс»;7701802460;Биржевые облигации документарные процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии БО-03;Облигация биржевая;4B02-03-69195-H;19.09.2014;1000;5 000 000;RU000A0JUVW3;;09.10.2014;
Первый уровень;22.09.2014;"ЗАО ""СОЛОМЕНСКИЙ ЛЕСОЗАВОД""";1040000104;документарные неконвертируемые процентные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-21996-J;26.08.2014;1000;3 000 000;RU000A0JUVT9;;08.10.2014;
Первый уровень;25.09.2014;ЗАО «Эмпайр Траст»;7705539531;"Ипотечные сертификаты участия с ипотечным покрытием ""Межрегиональная ипотека""";Ипотечный сертификат участия;0019;20.05.2014;;;RU000A0JUU74;;26.09.2014;
Первый уровень;25.09.2014;ООО «УК БИН ФИНАМ Групп»;7710288918;"Ипотечные сертификаты участия с ипотечным покрытием ""ИСУ-9000""";Ипотечный сертификат участия;0010;28.02.2014;;;RU000A0JUUF0;;26.09.2014;
Первый уровень;01.10.2014;"ОАО ""Промсвязьбанк""";7744000912;документарные процентные неконвертируемые биржевые облигации на предъявителя серии БО-06 с обязательным централизованным хранением;Облигация биржевая;4B020603251B;30.07.2012;1000;5 000 000;RU000A0JUVF8;;;
Первый уровень;02.10.2014;Минфин Красноярского края;2460071533;государственные облигации Красноярского края 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34009KNA0;19.09.2014;1000;8 250 000;RU000A0JUVM4;01.10.2018;06.10.2014;
Первый уровень;07.10.2014;МФ и НП НСО;5406634649;государственные облигации Новосибирской области 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34016ANO0;30.09.2014;1000;7 000 000;RU000A0JUR46;08.10.2019;09.10.2014;
Первый уровень;10.10.2014;"АКБ ""СОЮЗ"" (ОАО)";7714056040;неконвертируемые процентные документарные облигации серии 06 на предъявителя с обязательным централизованным хранением;Облигация корпоративная;40602307B;23.11.2012;1000;2 000 000;RU000A0JU7N2;11.10.2018;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;неконвертируемые процентные документарные облигации на предъявителя серии 10 с обязательным централизованным хранением;Облигация корпоративная;4-10-00004-T;05.10.2010;1000;15 000 000;RU000A0JRTN2;21.09.2021;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-01 с обязательным централизованным хранением;Облигация биржевая;4B02-01-00004-T;31.05.2013;1000;20 000 000;RU000A0JU0X6;15.07.2016;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;Неконвертируемые процентные документарные облигации на предъявителя серии 18 с обязательным централизованным хранением;Облигация корпоративная;4-23-00004-T;26.01.2012;1000;10 000 000;RU000A0JT403;17.09.2032;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;неконвертируемые процентные документарные облигации на предъявителя серии 09 с обязательным централизованным хранением с возможностью досрочного погашения по требованию владельцев;Облигация корпоративная;4-09-00004-T;05.10.2010;1000;15 000 000;RU000A0JRCX7;18.03.2021;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;неконвертируемые процентные документарные облигации на предъявителя серии 08 с обязательным централизованным хранением с возможностью досрочного погашения по требованию владельцев;Облигация корпоративная;4-08-00004-T;05.10.2010;1000;15 000 000;RU000A0JR3G0;13.10.2020;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-04 с обязательным централизованным хранением;Облигация биржевая;4B02-04-00004-T;31.05.2013;1000;15 000 000;RU000A0JUD83;20.12.2018;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;неконвертируемые процентные документарные облигации на предъявителя серии 06 с обязательным централизованным хранением с возможностью досрочного погашения по требованию владельцев;Облигация корпоративная;4-06-00004-T;05.10.2010;1000;10 000 000;RU000A0JR3H8;13.10.2020;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-14 с обязательным централизованным хранением;Облигация биржевая;4B02-14-00004-T;31.05.2013;1000;10 000 000;RU000A0JU6K0;27.09.2018;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;Неконвертируемые процентные документарные облигации на предъявителя серии 21 с обязательным централизованным хранением;Облигация корпоративная;4-26-00004-T;26.01.2012;1000;15 000 000;RU000A0JS4Z7;17.02.2032;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;неконвертируемые процентные документарные биржевые облигации на предъявителя серии БО-16в с обязательным централизованным хранением;Облигация биржевая;4B02-16-00004-T;31.05.2013;1000;500 000;RU000A0JULN3;02.05.2017;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;Неконвертируемые процентные документарные облигации на предъявителя серии 01в с обязательным централизованным хранением;Облигация корпоративная;4-18-00004-T;28.12.2011;1000;500 000;RU000A0JS3Y2;20.02.2015;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;Неконвертируемые процентные документарные облигации на предъявителя серии 19 с обязательным централизованным хранением;Облигация корпоративная;4-24-00004-T;26.01.2012;1000;10 000 000;RU000A0JT6B2;23.09.2032;;
Первый уровень;13.10.2014;Внешэкономбанк;7750004150;неконвертируемые процентные документарные облигации на предъявителя серии 31 с обязательным централизованным хранением;Облигация корпоративная;4-36-00004-T;09.07.2013;1000;7 500 000;RU000A0JUBA1;24.11.2020;;
Первый уровень;13.10.2014;Правительство ХМАО - Югры;8601006241;государственные облигации (внутреннего займа)  Ханты-Мансийского автономного округа - Югры 2014 года с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34001HMN0;03.10.2014;1000;14 000 000;RU000A0JUWB5;13.10.2019;14.10.2014;
Первый уровень;14.10.2014;ДФБП Воронежской области;3666098668;Облигации Воронежской области с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34007VRO0;10.10.2014;1000;7 000 000;RU000A0JUWK6;14.10.2019;15.10.2014;
Первый уровень;14.10.2014;Министерство финансов Республики Карелия;1001040590;Государственные облигации Республики Карелия 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35017KAR0;07.10.2014;1000;3 000 000;RU000A0JUWJ8;08.04.2020;15.10.2014;
Первый уровень;14.10.2014;Правительство Республики Башкортостан;0274034308;Облигации Государственного облигационного (внутреннего) займа Республики Башкортостан 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34009BAS0;03.10.2014;1000;6 000 000;RU000A0JUWT7;11.04.2019;16.10.2014;
Первый уровень;15.10.2014;Администрация Волгограда;3444059139;Муниципальные облигации Волгограда 2014 года с фиксированным купонным доходом и амортизацией долга;Облигация муниципальная;RU34007VGG1;08.10.2014;1000;1 000 000;RU000A0JUWU5;10.10.2019;16.10.2014;
Первый уровень;15.10.2014;ОАО «Открытие Холдинг»;7708730590;биржевые облигации документарные процентные неконвертируемые на предъявителя серии БО-04 с обязательным централизованным хранением;Облигация биржевая;4B02-04-14406-A;26.05.2014;1000;5 000 000;RU000A0JUWV3;;16.10.2014;
Первый уровень;20.10.2014;Минфин Омской области;5503078620;государственные облигации Омской области 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34002OMS0;16.10.2014;1000;5 000 000;RU000A0JUX89;15.10.2019;21.10.2014;
Первый уровень;23.10.2014;"ЗАО ""ГФТ ПИФ""";7719561939;Ипотечные сертификаты участия с ипотечным покрытием – «ИСУ-3»;Ипотечный сертификат участия;0024;13.08.2014;;;RU000A0JUW49;;27.10.2014;
Первый уровень;27.10.2014;Министерство финансов Республики Хакасия;1901019947;государственные облигации Республики Хакасия 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35004HAK0;22.10.2014;1000;2 500 000;RU000A0JUXW9;27.10.2019;28.10.2014;
Первый уровень;28.10.2014;"ЗАО ""СТРОЙТЕМП""";7708599063;неконвертируемые процентные документарные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-80031-N;09.10.2014;1000;5 000 000;RU000A0JUZU8;13.11.2019;19.11.2014;
Первый уровень;11.11.2014;"ООО ""СЖИ""";7724260380;Биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-01;Облигация биржевая;4B02-01-36443-R;11.11.2014;1000;3 000 000;RU000A0JV334;;23.12.2014;
Первый уровень;18.11.2014;"ЗАО ""Волга-Спорт""";5257116711;документарные неконвертируемые процентные облигации на предъявителя серии 02 с обязательным централизованным хранением;Облигация корпоративная;4-02-20468-P;11.10.2012;1000;1 900 000;RU000A0JT593;29.02.2024;;
Первый уровень;18.11.2014;"ЗАО ""ЕФГ Управление Активами""";7705918106;"Ипотечные сертификаты участия с ипотечным покрытием: ""Ипотечные сертификаты участия ЕФГ-2""";Ипотечный сертификат участия;0013;18.04.2014;;;RU000A0JUXF4;;19.11.2014;
Первый уровень;18.11.2014;Минфин Республики Коми;1101481969;Облигации республиканского облигационного займа Республики Коми 2014 года со сроком обращения свыше пяти лет до тридцати лет с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35011KOM0;28.05.2014;1000;10 100 000;RU000A0JUN81;27.11.2019;;
Первый уровень;18.11.2014;ООО «ФорТрейд»;7714896882;Ипотечные сертификаты участия с ипотечным покрытием: «Ипотечные сертификаты участия «Берег мечты»;Ипотечный сертификат участия;0038;29.10.2014;;;RU000A0JUZJ1;;19.11.2014;
Первый уровень;26.11.2014;РОС АГРО ПЛС (ROS AGRO PLC);0010034871;Глобальные депозитарные расписки, представляющие обыкновенные акции РОС АГРО ПЛС;Депозитарные расписки иностранного эмитента на акции;;;;;AGRO;;01.12.2014;
Первый уровень;28.11.2014;ЗАО «Управление отходами»;7725727149;документарные неконвертируемые процентные облигации на предъявителя серии 02 с обязательным централизованным хранением;Облигация корпоративная;4-02-76600-H;23.09.2014;1000;1 000 000;RU000A0JV0T3;01.06.2025;03.12.2014;
Первый уровень;02.12.2014;Администрация г.Омска;5503047244;Муниципальные облигации города Омска 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация муниципальная;RU34001OMK1;18.11.2014;1000;1 000 000;RU000A0JV0V9;03.12.2017;03.12.2014;
Первый уровень;02.12.2014;Администрация города Томска;7017004461;среднесрочные облигации Томского городского займа 2014 года с фиксированным купонным доходом  и  амортизацией  долга;Облигация муниципальная;RU34005TOM1;20.11.2014;1000;1 000 000;RU000A0JV2H4;15.12.2019;16.12.2014;
Первый уровень;08.12.2014;ООО «ФорТрейд»;7714896882;Ипотечные сертификаты участия с ипотечным покрытием «Ипотечные сертификаты участия «Берег моря»;Ипотечный сертификат участия;0037;29.10.2014;;;RU000A0JUZW4;;09.12.2014;
Первый уровень;08.12.2014;ООО «ФорТрейд»;7714896882;Ипотечные сертификаты участия с ипотечным покрытием «Ипотечные сертификаты участия «Берег луны»;Ипотечный сертификат участия;0036;29.10.2014;;;RU000A0JUZV6;;09.12.2014;
Первый уровень;10.12.2014;ПАО «Ханты-Мансийский банк Открытие»;8601000666;Биржевые облигации документарные процентные неконвертируемые на предъявителя серии БО-02 с обязательным централизованным хранением;Облигация биржевая;4B020201971B;10.12.2014;1000;30 000 000;RU000A0JV3J8;;26.12.2014;
Первый уровень;11.12.2014;Комитет финансов Ленинградской области;7825663932;государственные облигации Ленинградской области 2014 года с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU35001LEN0;05.12.2014;1000;7 900 000;RU000A0JV2J0;07.12.2021;16.12.2014;
Первый уровень;22.12.2014;"ОАО ""ГТЛК""";7720261827;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-03;Облигация биржевая;4B02-03-32432-H;24.04.2014;1000;1 500 000;RU000A0JV375;;23.12.2014;
Первый уровень;22.12.2014;Полюс Голд Интернешенл Лимитед (Polyus Gold International Limited);9909328557;обыкновенные акции;Акции иностранного эмитента;;;0.0001;3 032 149 962;PGIL;;26.12.2014;
Первый уровень;24.12.2014;Администрация ГО – г. Волжский;3435110011;муниципальные облигации городского округа – город Волжский Волгоградской области 2014 года с фиксированным купонным доходом и амортизацией долга;Облигация муниципальная;RU34001VLK1;15.12.2014;1000;1 000 000;RU000A0JV3M2;24.12.2019;25.12.2014;
Первый уровень;25.12.2014;ОАО Банк ВТБ;7702070139;документарные процентные неконвертируемые Биржевые облигации на предъявителя серии БО-30 с обязательным централизованным хранением;Облигация биржевая;4B023001000B;22.08.2013;1000;10 000 000;RU000A0JV3Q3;;26.12.2014;
Первый уровень;25.12.2014;"ООО ""Бизнес Консалтинг""";7838000749;неконвертируемые процентные документарные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-36455-R;28.10.2014;1000;3 000 000;RU000A0JV3T7;;26.12.2014;
Первый уровень;25.12.2014;"ООО ""БКЗ финанс""";7805182910;неконвертируемые процентные документарные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-36453-R;23.10.2014;1000;5 000 000;RU000A0JV3U5;;26.12.2014;
Первый уровень;26.12.2014;Правительство Магаданской области;4909053430;государственные облигации Магаданской области 2014 года в форме документарных ценных бумаг на предъявителя с фиксированным купонным доходом и амортизацией долга;Облигация субфедеральная;RU34001MGN0;23.12.2014;1000;1 000 000;RU000A0JV3Z4;24.12.2018;29.12.2014;
Первый уровень;30.12.2014;ЗАО «Ипотечный агент Открытие 1»;7743861651;неконвертируемые документарные процентные жилищные облигации с ипотечным покрытием на предъявителя с обязательным централизованным хранением класса «А»;Облигация корпоративная;4-02-79466-H;15.08.2013;1000;3 448 000;RU000A0JU5B1;25.02.2045;;
Первый уровень(РИИ);09.06.2014;FinEx Funds plc/FinEx Capital Management LLP (ФинЭкс Фандс плс/ФинЭкс Кэпитал Менеджмент ЛЛП);1000000016;Паи/акции открытого иностранного Биржевого инвестиционного фонда ФинЭкс MSCI акций IT-сектора США (UCITS ETF) (FinEx MSCI USA Information Technology UCITS ETF);Паи/акции иностранного биржевого инвестиционного фонда;;;;;FXIT;;;
Первый уровень(РИИ);09.06.2014;QIWI Plc (КИВИ ПиЭлСи);9909362043;Американские депозитарные акции, удостоверяющие права в отношении акций класса «Б» компании QIWI plc;Депозитарные расписки иностранного эмитента на акции;;;;;QIWI;;;
Первый уровень(РИИ);09.06.2014;"ООО ""Управляющая компания ""Финам Менеджмент""";7744002606;"инвестиционные паи Закрытого паевого инвестиционного фонда акций ""Финам - Информационные технологии""";Пай закрытого ПИФа;0446-78559613;20.12.2005;;16 727 359,5;RU000A0JNUN9;;;
Первый уровень(РИИ);28.11.2014;"ОАО ""РОСНАНО""";7728131587;Неконвертируемые процентные документарные облигации на предъявителя серии 02 с обязательным централизованным хранением;Облигация корпоративная;4-02-55477-E;12.05.2011;1000;10 000 000;RU000A0JRJP8;20.12.2017;;
Первый уровень(РИИ);28.11.2014;"ОАО ""РОСНАНО""";7728131587;Неконвертируемые процентные документарные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-55477-E;12.05.2011;1000;8 000 000;RU000A0JRJN3;20.12.2017;;
Первый уровень(РИИ);28.11.2014;"ОАО ""РОСНАНО""";7728131587;Неконвертируемые процентные документарные облигации на предъявителя серии 05 с обязательным централизованным хранением;Облигация корпоративная;4-05-55477-E;27.03.2012;1000;10 000 000;RU000A0JS6T5;10.04.2019;;
Первый уровень(РИИ);28.11.2014;"ОАО ""РОСНАНО""";7728131587;неконвертируемые процентные документарные облигации на предъявителя серии 04 с обязательным централизованным хранением;Облигация корпоративная;4-04-55477-E;27.03.2012;1000;10 000 000;RU000A0JS6S7;10.04.2019;;
Первый уровень(РИИ);28.11.2014;"ОАО ""РОСНАНО""";7728131587;Неконвертируемые процентные документарные облигации на предъявителя серии 03 с обязательным централизованным хранением;Облигация корпоративная;4-03-55477-E;12.05.2011;1000;15 000 000;RU000A0JRJQ6;20.12.2017;;
Второй уровень;09.06.2014;ОАО «Живой офис»;7811530837;акции обыкновенные;Акция обыкновенная;1-01-05382-D;09.01.2013;1;12 000 000;ZHIV;;;
Второй уровень;09.06.2014;"АК ""АЛРОСА"" (ОАО)";1433000147;облигации неконвертируемые процентные документарные на предъявителя с обязательным централизованным хранением серии 20;Облигация корпоративная;4-20-40046-N;20.04.2010;1000;3 000 000;RU000A0JQVK6;23.06.2015;;
Второй уровень;09.06.2014;"АО ""Банк Русский Стандарт""";7707056547;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-04;Облигация биржевая;4B020402289B;24.04.2012;1000;3 000 000;RU000A0JTPL0;27.02.2016;;
Второй уровень;09.06.2014;"АО ""Банк Русский Стандарт""";7707056547;биржевые облигации процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-02;Облигация биржевая;4B020202289B;29.07.2011;1000;5 000 000;RU000A0JS5P5;24.03.2015;;
Второй уровень;09.06.2014;"АО ""Банк Русский Стандарт""";7707056547;Процентные неконвертируемые документарные Биржевые облигации серии БО-06 на предъявителя с обязательным централизованным хранением;Облигация биржевая;4B020602289B;24.04.2012;1000;5 000 000;RU000A0JS7N6;03.05.2015;;
Второй уровень;09.06.2014;"АО ""Банк Русский Стандарт""";7707056547;процентные неконвертируемые документарные на предъявителя с обязательным централизованным хранением серии БО-03;Облигация биржевая;4B020302289B;24.04.2012;1000;3 000 000;RU000A0JTPJ4;27.02.2016;;
Второй уровень;09.06.2014;"АО ""Вертолеты России""";7731559044;документарные процентные неконвертируемые облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-12310-A;09.04.2013;1000;5 000 000;RU000A0JTW26;20.04.2018;;
Второй уровень;09.06.2014;"АО ""Вертолеты России""";7731559044;документарные процентные неконвертируемые облигации на предъявителя серии 02 с обязательным централизованным хранением;Облигация корпоративная;4-02-12310-A;09.04.2013;1000;10 000 000;RU000A0JTW34;20.04.2018;;
Второй уровень;09.06.2014;"АО ""ГЛОБЭКСБАНК""";7744001433;Документарные процентные неконвертируемые биржевые облигации на предъявителя с обязательным централизованным хранением серии БО-7;Облигация биржевая;4B020701942B;25.10.2011;1000;5 000 000;RU000A0JTDW3;04.12.2015;;
Второй уровень;09.06.2014;"АО ""МХК ""ЕвроХим""";7721230290;облигации процентные документарные неконвертируемые на предъявителя с обязательным централизованным хранением серии 02 с возможностью досрочного погашения по требованию владельцев и по усмотрению эмитента;Облигация корпоративная;4-02-31153-H;03.12.2009;1000;5 000 000;RU000A0JQXQ9;26.06.2018;;
Второй уровень;09.06.2014;"АО ""МХК ""ЕвроХим""";7721230290;неконвертируемые процентные документарные облигации на предъявителя с обязательным централизованным хранением серии 03 с возможностью досрочного погашения по требованию владельцев и по усмотрению Эмитента;Облигация корпоративная;4-03-31153-H;03.12.2009;1000;5 000 000;RU000A0JR4Z8;14.11.2018;;
Второй уровень;09.06.2014;"Государственная компания ""Автодор""";7717151380;Неконвертируемые процентные документарные облигации на предъявителя серии 01 с обязательным централизованным хранением;Облигация корпоративная;4-01-00011-T;26.04.2011;1000;3 000 000;RU000A0JRYJ0;29.11.2016;;
Второй уровень;09.06.2014;ГПБ (ОАО);7744001497;Документарные процентные неконвертируемые биржевые облигации на предъявителя с обязательным централизованным хранением серии БО-03;Облигация биржевая;4B020300354B;06.05.2010;1000;10 000 000;RU000A0JS322;01.02.2015;;
Второй уровень;09.06.2014;ЗАО «Банк Интеза»;7708022300;облигации процентные неконвертируемые на предъявителя с обязательным централизованным хранением серии 03;Облигация корпоративная;40302216B;26.01.2012;1000;5 000 000;RU000A0JS6B3;13.04.2015;;
Второй уровень;09.06.2014;"ЗАО ""ГИДРОМАШСЕРВИС""";7733015025;документарные неконвертируемые процентные облигации на предъявителя серии 02 с обязательным централизованным хранением;Облигация корпоративная;4-02-17174-H;20.10.2011;1000;3 000 000;RU000A0JS3V8;13.02.2015;;
Второй уровень;09.06.2014;"ЗАО ""Европлан""";6164077483;облигации процентные документарные неконвертируемые на предъявителя с обязательным централизованным хранением серии 03;Облигация корпоративная;4-03-56453-P;28.12.2011;1000;3 500 000;RU000A0JT9S0;31.10.2017;;
